At gamma =  [2.972320317780390978e+08,2.972320317782793641e+08]
New biggest  [1.073171343147157203e-01,1.073608164099439793e-01]
At gamma =  [2.987801050111313462e+08,2.987801050114342570e+08]
New biggest  [1.069658831953430450e-01,1.069925062424353507e-01]
At gamma =  [3.010095987065737247e+08,3.010095987067582607e+08]
New biggest  [1.085569119209433414e-01,1.085660983629815196e-01]
At gamma =  [3.031886771744630933e+08,3.031886771745266318e+08]
New biggest  [1.091198431341277864e-01,1.091388768768634110e-01]
At gamma =  [3.064965839806200266e+08,3.064965839807519317e+08]
New biggest  [1.071162954145957746e-01,1.071210399553589182e-01]
At gamma =  [3.086421936807006598e+08,3.086421936807334423e+08]
New biggest  [1.061403745625410927e-01,1.061900285049383330e-01]
At gamma =  [3.100153484984250069e+08,3.100153484987692833e+08]
New biggest  [1.087209542400586482e-01,1.087268959494870069e-01]
At gamma =  [3.129493438841789365e+08,3.129493438842200041e+08]
New biggest  [1.051643666966898677e-01,1.051933081334892744e-01]
At gamma =  [3.153799908483964801e+08,3.153799908485969901e+08]
New biggest  [1.118916491873203356e-01,1.119210522395320540e-01]
At gamma =  [3.156635091808394194e+08,3.156635091810430884e+08]
New biggest  [1.085830307181080145e-01,1.086069945066022308e-01]
At gamma =  [3.187334844989825487e+08,3.187334844991484880e+08]
New biggest  [1.082115293434153663e-01,1.082198427625868653e-01]
At gamma =  [3.212066393995053172e+08,3.212066393995627165e+08]
New biggest  [1.048818032560689673e-01,1.049178047675141112e-01]
At gamma =  [3.228016811980324984e+08,3.228016811982820034e+08]
New biggest  [1.075421477016983846e-01,1.075583146659902511e-01]
At gamma =  [3.249302632119842172e+08,3.249302632120961547e+08]
New biggest  [1.098577263839405210e-01,1.098770436076929174e-01]
At gamma =  [3.270786921587097645e+08,3.270786921588435769e+08]
New biggest  [1.090613248749614239e-01,1.090797969766959946e-01]
At gamma =  [3.291807566625831723e+08,3.291807566627110243e+08]
New biggest  [1.104564944272866667e-01,1.104991826351715140e-01]
At gamma =  [3.310297536575554609e+08,3.310297536578512788e+08]
New biggest  [1.107893803563434060e-01,1.107981818976843530e-01]
At gamma =  [3.336008586597943306e+08,3.336008586598551273e+08]
New biggest  [1.077765090306598839e-01,1.077839490034743358e-01]
At gamma =  [3.344324044792399406e+08,3.344324044792913795e+08]
New biggest  [1.078116365235054913e-01,1.078279772835551709e-01]
At gamma =  [3.380510692554224730e+08,3.380510692555355430e+08]
New biggest  [1.068310355935451900e-01,1.068342038604815497e-01]
At gamma =  [3.387540280832048655e+08,3.387540280832265615e+08]
New biggest  [1.081478472093592019e-01,1.081962351686342194e-01]
At gamma =  [3.426618837162437439e+08,3.426618837165790200e+08]
New biggest  [1.076723093532761105e-01,1.077022709580239268e-01]
