There are 32 threads
Mertens at 335000000000: -225398
Mertens at 336000000000: -220013
Mertens at 337000000000: -220429
Mertens at 338000000000: -214745
Mertens at 339000000000: -197532
Mertens at 340000000000: -213689
Mertens at 341000000000: -221416
Mertens at 342000000000: -163999
Mertens at 343000000000: -157992
Mertens at 344000000000: -114434
Mertens at 345000000000: -68758
Mertens at 346000000000: -100034
Mertens at 347000000000: -82237
Mertens at 348000000000: -103779
Mertens at 349000000000: -95294
Mertens at 350000000000: -116768
Mertens at 351000000000: -81136
Mertens at 352000000000: -100763
Mertens at 353000000000: -92255
Mertens at 354000000000: -70680
Mertens at 355000000000: -59906
Mertens at 356000000000: -53239
Mertens at 357000000000: -52233
Mertens at 358000000000: -41995
Mertens at 359000000000: -21871
Mertens at 360000000000: -86670
Mertens at 361000000000: -68049
Mertens at 362000000000: -71563
Mertens at 363000000000: -36887
Mertens at 364000000000: -30969
Mertens at 365000000000: -35847
Mertens at 366000000000: 11968
Mertens at 367000000000: 11436
Mertens at 368000000000: 4214
Mertens at 369000000000: -28552
Mertens at 370000000000: -31450
Mertens at 371000000000: -40554
Mertens at 372000000000: -55000
Mertens at 373000000000: -54261
Mertens at 374000000000: -20657
Mertens at 375000000000: -278
Mertens at 376000000000: 13412
Mertens at 377000000000: 7082
Mertens at 378000000000: -28698
Mertens at 379000000000: -45668
Mertens at 380000000000: -51112
Mertens at 381000000000: -35712
Mertens at 382000000000: -56473
Mertens at 383000000000: -15794
Mertens at 384000000000: 10829
Mertens at 385000000000: 13141
Mertens at 386000000000: 23523
Mertens at 387000000000: 32326
Mertens at 388000000000: 65795
Mertens at 389000000000: 93766
Mertens at 390000000000: 86595
Mertens at 391000000000: 85565
Mertens at 392000000000: 106577
Mertens at 393000000000: 100880
Mertens at 394000000000: 65421
Mertens at 395000000000: 97648
Mertens at 396000000000: 135351
Mertens at 397000000000: 136455
Mertens at 398000000000: 124685
Mertens at 399000000000: 172777
Mertens at 400000000000: 202631
Mertens at 401000000000: 220992
Mertens at 402000000000: 266096
Mertens at 403000000000: 215521
