                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000100.701571645401312224627916181379303176346532531340702268449254070892614556420912539086757940559 + 0.04158475384556604745713881282343735290530804757779760151880430529782986034525186461389609713791154427*I
1000107.026748424841214907309355365465097466357049773389713354698248417510814013131142752420002162119 + 0.04800570516824959877544485501020000172598550168918119614929048384418722133865818362598290000713784910*I
1000111.644407006262821175338378355124740792348682827212383338179667006394622821239847999279239744341 + 0.06852806279557671694405715027205397336792331334382018323564948337773104182924193874582445339412004592*I
1000111.644407006262821175338378355124740792348682827212383338179667006394622821239847999279239744341 + 0.06852806279557671694405715027205397336792331334382018323564948337773104182924193874582445339412004592*I
1000116.246213597506900133796697649028424358799136411153167617510070672305505501100059912796511348889 + 0.07098918759903076615172348882062328547398440063420939129786895535709115831332297388365899849463463402*I
1000119.752788238665294306736615456732711294844180888323972992827782428051473960432020302151935930896 + 0.05211347109158119946658386884334136857214600380005872568201748170927116479277572925946630898933131665*I
1000119.752788238665294306736615456732711294844180888323972992827782428051473960432020302151935930896 + 0.05211347109158119946658386884334136857214600380005872568201748170927116479277572925946630898933131665*I
1000124.367995356451891302336971258732896092635692817807110214555766956191893284912245290168578401588 + 0.04968014052967041226522047419784657919648132401275493049857774534626417238410803352898855927723371681*I
1000128.978123094497827673860614807567631408378864593914290056768361590885812008395287157748471387400 + 0.05132407131793814153575303835220347374019892270199026508281144065360283618207436158241944131309701617*I
1000130.729200947655434270026934107094911952630588407585866290646128664995671412929137185560679483472 + 0.03950999560914556245276547417608330653961168332622751915036523085325600269104289048810084302910352567*I
1000131.735011764196914521772772267690482559199252266078103444095843345893000547998782623341763812549 + 0.04582455746993873085447763681398438121315898516146763744166896807928053901438116905256788999211832308*I
1000133.601094789936697081028411458506806834487868302222327303875858806863353949641666115790937710949 + 0.04482688697645463850947164093116584637033485696264951410584538594182463363830459776337210853106188816*I
1000137.100749438880141200999933875450162973982747684721495788526756595004857780812800204545297692239 + 0.06776503781371624739872881215495484585262622638355811521207100538452595332016613192464643520515674729*I
1000141.706495885021197973970058794882974656175789597133383613463096134022320967002393940153532533597 + 0.05878662602871742494590029793895572214971196428058199822372459410075266500052191493433263350654953868*I
